Course name,Instructor,Course_Difficulty,Time_Commitment_Required,Attendance_Policy,Pre_requisites,Evaluation_Scheme,Topics_Covered,Teaching_Style,Tutorials_Assignments_Projects,Feedback_on_Exams,Course_Importance,References_Used,When_to_take_course
EE725 - Computational Electromagnetics,Kulkarni S V,"Moderate
 The course covers a lot of content in both the low frequency and high frequency ranges of electromagnetics. So in terms of content to cover, the course can be considered slightly difficult. The course project also requires a fairly rigorous understanding of the numerical technique chosen for implementation. The examination questions on the other hand are quite straightforward.","The instructor explains concepts very well in class and spends enough time to ensure that everyone grasps them well. So one doesnâ€™t have to spend much time outside class to cover the course content. However, the course project would need a significant amount of time outside class hours to do it well, especially towards the end of the course.",,"PH108 (the intro to EM course) and MA214 (intro to numerical analysis) is very helpful
 Basic knowledge of any computational numerical technique such as FDM, FEM, etc would be an added advantage, though not necessary","Midsem - 20%
 Endsem - 40%
 Minor Project - 10%
 Major Project - 30%","Introduction to electromagnetic fields: review of vector analysis, electric and magnetic potentials, boundary conditions, Maxwells equations, diffusion equation, Poynting vector, wave equation 
 Finite Difference Method (FDM): Finite Difference schemes, treatment of irregular boundaries, accuracy and stability of FD solutions, Finite-Difference Time-Domain (FDTD) method 
 Finite Element Method (FEM): overview of FEM, Variational and Galerkin Methods, shape functions, lower and higher order elements, vector elements, 2D and 3D finite elements, efficient finite element computations 
 Method of Moments (MOM): integral formulation, Greens functions and numerical integration, other integral methods: boundary element method, charge simulation method Special topics: hybrid methods, coupled circuit - field computations, electromagnetic - thermal and electromagnetic - structural coupled computations, solution of equations Applications: low frequency and high frequency electrical devices, static / time-harmonic / transient problems in transformers, rotating machines, waveguides, antennas, scatterers","Live interactions in all classes
 The instructor explains concepts very well in class and spends enough time to ensure that everyone grasps them well. He is also very approachable and is also genuinely interested in everyoneâ€™s projects and ensures that students take away some important skills from the course.","The project is the main part of the course. Students have to implement one of the numerical techniques taught in class using a programming language of their choice and solve some practical problem using it. Thereâ€™s a lot of learning to be gained from it, though it requires a significant amount of time outside class hours to do it well, especially towards the end of the course.","Exams cover a lot of content, but the questions are straightforward and can easily be solved after going through lecs/slides. Cheatsheets are allowed, but nothing else.",Very useful for those who expect to work with electric machines (low and/or high frequency) in the future. The course also summarizes the various EM concepts one has to know to analyze such electric machines.,,"7th sem
 Would not recommend taking it in a sem where one already has other important commitments (such as placements, apping, etc) as the course project requires a significant amount of time outside class hours to do it well, especially towards the end of the course."
EE679 - Speech Processing,Preeti Rao,You will have to watch all the lectures properly to understand the course content. Otherwise it will be quite difficult to cope up.,5 hours on a weekly basis including class hours,Not compulsory attendance in online semester,Knowledge of signals (EE 210) and Probability (EE 325) will be required,"Weekly Moodle Quizzes - 10 %
 3 assignments or 2 assignments + 1 paper review - 25 %
 Midsem - 20 %
 Endsem - 45 %","Speech production and acoustic phonetics, speech perception; 
 Speech analysis: time and frequency domain techniques for pitch and formant estimation, cepstral and LPC analysis; 
 Speech synthesis: articulatory, formant, and LPC synthesis, voice response and text-to-speech systems; 
 Applications: data compression, vocoders, speech enhancement, speech recognition, speaker recognition, aids for the speech and hearing impairments.",2 to 3 hours of recorded lectures + weekly live interaction of 1.5 hour,All the three assignments were coding assignments (Python on Jupyter or Colab) of moderate difficulty. We had to implement a few models taught in lectures.,"Exams were purely conceptual, hence watching lectures is important.",,"Maâ€™am provides reference papers for understanding / extra learning. Apart from that, no book that covers everything maâ€™am teaches, hence we have to rely on lectures and lecture notes.","Not recommended in second year, the course can be done in 3rd year if the pre-requisites have been covered. 7th or 9th semester is ideal for this course."
EE659 - A First Course in Optimization,Soman S.A.,"Easy-Moderate
 Since the course is an intro to optimization techniques, the concepts involved are fairly easy to grasp. However, the topics involved can be used to formulate a wide variety of problems so the exams/assignments may include a few tricky problems.","On the lower side
 Course just had 1 assignment and an endsem. Can be managed by starting a few days before the deadline/exam","No attendance
 All lectures are uploaded on youtube","No prereqs, its an intro course","1 Assignment of 20%
 Endsem of 80%","All lectures available on youtube
 Teaching style is easy to understand and pace is easy to follow","All lectures available on youtube
 Teaching style is easy to understand and pace is easy to follow","Practice problems are given in each lecture
 Most of the assignment questions can be solved fairly easily after watching the lectures but there are a few tricky questions which will take significant amount of time to solve.","Most of the exam questions are quite easy, but there are a few tricky problems which will require good understanding of the concepts.","Optimization techniques are relevant to all engineering fields, so the skills taken from the course would come in handy in the future.",,"5th sem
 Can be taken in any sem"
EE636 - Matrix Computations,Debasattam Pal,The course is fairly intuitive and should be easy for someone who is interested in linear algebra.,"Watching lectures and solving homeworks should be enough to get a decent grade. On average , 2 hours per week outside lecture time should be enough.",No policy enforced. Strongly encouraged to attend the classes though.,Linear Algebra,"Homeworks - 20 , Quizzes - 20 , Midsem - 20 , Endsem - 40","Gaussian Elimination , LU decomposition , Sensitivity of Linear Systems , Least Squares Problem , QR decomposition , Gram Schmidt Process , Singular Value Decomposition , Eigenvalues and Eigenvectors , QR algorithm",Live lectures. Spent a considerable portion of every class in clearing doubts from previous lecture.,Homeworks contain questions from the textbook itself,,,Fundamentals of Matrix Computations by David Watkins,4th semester. 4th or 6th semester
EE621 - Markov Chains and Queuing Systems,Jayakrishnan Nair,"With a strong background of first-year math and probability, the course shouldnâ€™t be too challenging. Rigor is, however, a constant feature, so if youâ€™re not a fan of long proofs and theorems, this may not be the course for you.",Recorded videos were uploaded to YouTube and the lecture slot was used for discussion of the lecture content. This meant that a little bit of preparation was needed to follow the stuff taught in class.,"None as such, however class participation counted for 5% of the grade.","EE325 is a semi-official prerequisite, but any other probability course from SC, IE or your own department should work alongside instructorâ€™s consent","Homework assignments â€“ 25%
 Quizzes (2) â€” 20%
 Mid-term â€“ 20%
 End-term â€“ 30%
 Class participation â€“ 5%
 Quizzes + assignments for audit grade","As the name suggests, the first half is about Markov chains while the latter half looks at the modelling of queuing systems.
 Discrete-time Markov chains
 Introduction to Renewal Reward Theory
 Continuous-time Markov chains
 Markovian queueing models â€” M/M/1, Erlang B & C
 Phase-type distributions and Matrix Analytic Methods
 M/G/1 mean value analysis via Renewal Reward
 M/G/1 transform analysis
 Scheduling policies in M/G/1: FCFS, LCFS, PLCFS, SRPT
 Burkeâ€™s Theorem & Queueing Networks",The professor would upload at least two videos every weekend and students were expected to have watched the content by the lectures on Monday and Thursday (one apiece). The professor was extremely patient and explained the concepts very well using a digital whiteboard. The pace was reasonably slow and the professor ensured that everyone in the class was awake with his enthusiasm. The use of real-word examples throughout makes going through the course content extremely interesting.,"Homework Assignments - quite easy, avoid plagiarism at all costs","Exams - rarely heavy on proofs or theory, unlike the lectures, easy to score well in if one does the homework diligently
 All exams were conducted using SAFE + web proctoring, with sporadic experiments with Code Tantra","Great as an advanced probability course - once this is done you can branch out into Derivative Pricing, Stochastic Optimization, Stochastic Control or Statistical Machine Learning, for which there are a multitude of courses within EE as well as outside",The textbook for the course is Performance Modeling and Design of Computer Systems by Mor Harchol-Balter. Other useful references are:,"6th semester, ideally take it after youâ€™ve done a proper probability course"
EE321 - Power Electronics,Prof. Sandeep Anand,The course is a bit on the tougher side .The problems asked in the exams werenâ€™t easy and required a very strong grip of concepts and were usually difficult . All the exams conducted were open book.,The time commitment required for this course is a little high. The pre-recorded lectures required 2-3 hours weekly. The assignments had 6-8 problems and required high time commitment. Submission for these assignments wasnâ€™t required.,There was no attendance policy in this course (it was because of the relaxation in the attendance policy during the online semester).,EE101 is a pre-requisite for this course. Only students who had done EE101 earlier were allowed to continue this course.,"Mini-Quizzes - 30 % (best 3 out of 4 quizzes) 
 Mid Sem. - 30 %
 End Sem. - 40 %","The course covers the fundamentals of power electronics.
 Power adapter, Power semiconductor devices : Structure, operating characteristics and working of power diodes, MOSFETs, thyristors, GTOs, IGBTs, DC-DC Buck converter, DC-DC Boost Converter, Switch Realization, Flyback converter, Diode rectifier, Thyristor rectifier, Active rectifiers, Single phase Modulation, Single phase voltage source converter, Three-phase voltage source converter, DC/AC inverters, AC/DC converters.","Pre-recorded lectures were already posted on youtube and a given set of lectures were supposed to be watched each week. Assignments were given almost every week and problems were discussed in interaction sessions which were conducted on MS Teams. Breakout sessions were conducted on Wednesday to clarify doubts from TAs, and interaction sessions were conducted on Friday to clarify doubts, get additional information, etc. The interaction sessions were mandatory to attend.",Good difficulty. Highly recommended to attempt assignment problems before exams.,One question was given in each quiz which was usually difficult. The midsem was of moderate difficulty. The endsem exam was very difficult.,,Reference books suggested by the professor were:,
DH302 - Introduction to Public Health Informatics,Prof. Ganesh Ramakrishnan,"The course is pretty easy, with basic biological terminologies and foundational IT topics in the syllabus. The prof. took this course first time so he collectively decided the syllabus with the class.
 The whole class can be divided into 2 topics -
 Biology - nomenclature, basic definitions, etc.
 IT - Definitions of OS, hardware (mouse, keyboards), with some parts of data analytics (of survey data)",Very less. All topics were pretty intuitive and exams could be given based on common knowledge,Chill attendance policy,None,,"Nomenclature of biological terms
 Basics of IT (OS, hardware, memory, computer infrastructure)
 Little bit of Health Informatics, data analytics, health policy and medico-legal topics","Online - Slides with annotation.
 Prof Ganesh teaches very well, is enthusiastic about whatever he teaches. Pretty flexible with changing logistics if majority agrees","Pretty easy, almost everybody got good grades with little effort",Easy and based on common sense. Might be boring for people who hate to memorise some stuff,Core for minor and IDDDP students,,
DE309 - Design for Interactive Media,Prof. Anirudha Joshi,"It was a 3 week module for IDC students, so it was pretty hectic for me with a lot of assignments, not particularly difficult content wise.",Classes/presentations/sessions everyday 9-5 PM. Other than that group project work ~3 hours,No attendance policy,None,"Course project - users studies (25%)
 Persona (10%) - individual evaluation
 Best interview (15%) - individual evaluation
 Heuristics and principles (15%) - individual evaluation
 Course project - design (20%) - group level evaluation
 Course project - evaluation (15%) - group level evaluation","User studies techniques focusing on conceptual inquiry technique which involves taking interviews, and gaining insights and further using it for design ideas. Next part involved creating personas based on the insights from affinity, heuristics and principles of HCI, followed by a course project on designing a prototype in response to the contextual problems found in user studies and to provide a solution for them.",Class presentations mainly and Youtube videos followed by discussions on the same,,,,,"Autumn semester, fourth year. It is not offered as elective/minor, I registered for it and took permission for retagging as IE."
CS772 - Deep Learning for Natural Language Processing,Prof. Pushpak Bhattacharya,Slightly harder than average. The course content is straightforward. But exams can be very tricky. Assignments are easy. But project requires substantial efforts. There are numerous evaluations which might seem overwhelming but they are quite easy if you are regular.,As much as that of a regular 6 credit course.,No attendance policy. All lectures and slides were made available.,"CS626 (Speech, NLP and the Web) offered by Prof. Pushpak himself in the previous semester was a soft prerequisite. But he went over the basics again in the initial few lectures to bring everyone up to speed. Any introductory ML course should suffice.","Individual effort (Total - 50%):
 3 Quizzes - Total 15%
 Midsem - 15%
 Endsem - 20%","Language Modeling, 
 Neural Net Language Models, 
 Backprop and related concepts, 
 Seq2seq models,
 Attention mechanism, 
 Transformers, 
 Sentiment/Emotion/Dialogue analysis","Online live lectures. With recordings made available offline.
 Occasionally had special guest lectures by industry professionals.",Assignments are very basic and easy. Project requires considerable efforts. There are regular project progress evaluations. The TAs and professor are very helpful in guiding us in the right direction in these sessions.,"All exams were mostly MCQs or short answer type. There were some instances of ambiguous framing and options. Except endsems, everything was open book.",DL for NLP makes one acquainted with the concepts underlying SOTA NLP research. There are tremendous research opportunities in NLP and this course can serve as a nice gateway to them.,"1) Ian Goodfellow, Yoshua Bengio and Aaron Courville, Deep Learning, MIT Press, 2016.
 2) Dan Jurafsky and James Martin, Speech and Language Processing, 3rd Edition, 2019
 3) Pushpak Bhattacharyya, Machine Translation, CRC Press, 2017",I took this course in my 6th semester. This course should be taken in or after 3rd year.
CS768 - Learning with Graphs,Prof. Abir De,"I would consider this as a moderately difficult courses, on the basis of the mathematical rigor expected. The content is developed from a lot of recent research papers, thus there arenâ€™t a lot of resources other than the class notes and research papers to fall back on. The project expectations are quite different based on the kind of project you choose (research/development), but the exams are difficult and require you to think on the spot rather than mug up stuff.","The lectures if properly followed, are decent enough to develop a proper understanding of the content. A couple hours other than the lectures per week are good enough to stay on track. Towards the end, there were assignments, paper reviews and the final project of course, thus requiring more time (say 4-5 hours a week)",None :),"Basics of graph theory (not mandated), basic course on machine learning (mandatory), good grasp on linear algebra, probability and optimization helps.","Total marks are calculated based on this formula.
 Midsem - 20%
 Endsem - 40%
 Quiz (1) - 10%
 Project, coding assignment and paper reviews - 30%",Heuristic based as well as deep models for learning on graphs,"Live lectures with online tools for writing. Notes shared later with the students, frequent discussion sessions held to clarify doubts.","No tuts, there was an assignment which was pretty basic, just to familiarize us with the use of graphical models on some standard datasets. Paper reviews required us to read and critically review any three papers out of the four choices given. The final project was to be selected from a pool of projects that the professor shared with the class. There were different kinds of projects with some requiring development, others demanding research. We were free to choose and work on any one of them in teams of at max 3. It served as a nice first project in the domain, interested peeps were open to continue working on the project after the course as well.","Difficult! With most questions being open ended, the exams were difficult to score. The questions expected comfort with probability and algebra.",Helpful first course about learning approaches applied to graphs,,"Took it in my 7th semester. The course can be taken once youâ€™re comfortable with probability, linear algebra, machine learning and mathematical rigor in general. Decide for yourself, 5th sem might also be fine. Also the course is moderately heavy with not a lot of demands till midsems, but becomes a little more heavy from the evaluation perspective after midsems."
"CS765 - Introduction to Blockchains, Cryptocurrencies and Smart Contracts",Prof. Vinay J. Ribeiro,The course contents are not exactly difficult but you do need to spend enough time understanding whatâ€™s going on. The seemingly simple ideas discussed in the class are to be translated into well maintained code stacks while doing the assignments.,"The lectures are easy to follow with the well-maintained notes that the prof provides. So, watching them once was sufficient (for the exams). The assignments do take time, you can expect dedicating a good 20-25 hours each per assignment, while working in a team of 3. :)",None :),None,Out of 100: HW1: 16; HW2: 9; HW3: 10; Quiz1: 7.5Y ; MidSem: 20Y; Final: 30*Y. Here Y is a scaling factor due to dropping of Quiz2. Y = 65/57.5,"Motivation for Blockchain Systems. Introduction to Peer-to-Peer systems and Distributed systems - Consensus, Byzantine Fault Tolerance, Impossibility Results. Cryptographic Tools used in Blockchains. Bitcoin: proof-of-work (PoW) consensus, block structure and other details. Attacks on Bitcoin: double spend and selfish mining. Energy saving: proof of stake and comparison with PoW. Algorand â€“ committee based consensus. Ethereum, GHOST protocol, Solidity. Consensus for permissioned ledgers: RAFT, PBFT, Zyzzyva. Payment channel networks.","Pre recorded lectures, live discussion sessions once a week, last yearâ€™s notes were provided start of the semester. The discussions hardly deviated from those.","Heavy assignments, need to be proficient with programming, especially using various data structures as well as developing properly documented codes. There was no project.","Midsem and Endsem were a combination of memory based objectives from the lectures and thought provoking subjective questions based on the content covered. Not very difficult I would say, but not very trivial either. There was only one objective quiz.","Blockchains is a booming field, with wide applications today in a lot of industries. From a research standpoint too, the course serves as a good introduction to the domain. There is an advanced blockchain course that Prof. Vinay takes in the spring semester, which is more around recent developments in the field. Can consider taking that as well.",Textbook references by Arvind Narayanan (Princeton) and Saravanan Vijaykumaran (IITB).,"I took it in my 7th semester. I WONâ€™T recommend taking this in your placement semester. The course is amazing but very demanding as well throughout the semester. If you have a good hand on coding, 5th semester should be ideal."
CS689 - Machine Learning: Theory and Methods,Prof. Harish Guruprasad Ramaswamy,The course certainly demanded mathematical rigour to some extent as well as the ability to grasp concepts from research papers. A basic understanding of (as well as some coursework in) machine learning was expected before taking the course.,"The course had discrete peaks as far as time commitment is concerned. The paper presentations and the final project demanded time towards the later half of the course. The quizzes were very easy if the lecture content was properly followed. But apart from the evaluation, paper reading was expected throughout the semester so one can expect spending around 3 hours per week apart from the usual lecture hours if they wish to follow the course religiously. The discrete peaks I talked about earlier demanded around 7-8 hours each for the paper presentations and around 20-25 hours of work for the project. This might vary from person to person but just to give a rough idea.",None :),"Coursework in basic Machine Learning was mandatory. Good knowledge of linear algebra, calculus and optimization helps in appreciating the course content better.","2 quizzes - 5% each
 2 paper presentations - 30% each
 course project - 30% + 5% bonus for extending the idea of a research paper and presenting extra results","Fairness
 #Notions of fairness
 #Constrained classification
 #Algorithmic vs data unfairness","Live lectures, the professor used online writing tools to explain concepts, these notes were later shared with the class along with the recordings of the lectures. The latter half of the lecture hours were dedicated to paper presentations by students.","Being a small class, the mode of communicating was directing messaging the prof for taking any feedback or asking doubts related to the paper presentations and projects. These evaluations helped concentrate on a particular problem and go about solving it in an organised manner.",There were no exams other than the two quizzes. They were super easy given that the lecture content is properly followed.,"Serves as a good starter for the abovementioned domains, the discussed ideas can be translated into research work later on in the field.",Check the papers listed here - https://sites.google.com/site/harishguruprasad/teaching/topics-in-ml-iitb-aug-2021,"Took it in my 7th semester. Given that usually people interested in ML do an introductory course by their 4th semester, taking this in 5th semester should also be fine."
CS635 - Information Retrieval & Mining for Hypertext & the Web,Soumen Chakrabarti,"The course content is moderate in difficulty. The lectures are sufficient for the evaluation conducted, but the reference texts are quite relevant and should be explored to get a deeper understanding of topics explored in the lectures. Easy weekly mini-quizzes are conducted to incentivise students to keep up with the lectures.",6-8 hours per week,None,No hard prerequisites. Fundamental knowledge of probability theory is expected. Basic knowledge of graph theory would be helpful but it is not mandatory.,Marking scheme for the course (the total is capped at 100):,"Text indexing and index compression, Relevance ranking (methods and metrics), Similarity search of documents, Corpus models, Document Labeling and Topic Modelling, Learning to Rank documents subject to a query, Measuring and Modeling the Web, Proximity search in graphs, Web Crawling, Monitoring, and Sampling.",,"The coding assignments are moderate in level of difficulty and time commitment required, and they give a nice hands-on experience of the topics being covered in class.","Weekly mini-quizzes are low in difficulty and just require you to be up to date with the content covered in lectures. The quizzes, midsem, and endsem range from moderate to slightly difficult, and require a good grasp of the theory.",,Mining the Web - Discovering Knowledge from Hypertext Data (https://www.cse.iitb.ac.in/~soumen/mining-the-web/),"I took this course in my 7th semester. For people looking to pursue research in this domain in their final year, 5th semester would be the ideal semester for taking this course."
CS416 - Computer and Network Security,G Sivakumar,"The course difficulty was moderate. Professor rarely took any classes and mostly posted online links for the topics, but the content was pretty interesting in itself, hence many peeps enjoyed reading it on their own. The course had a big chunk for the project and hence it was easy to score good marks and grade if one does well into that.",2-4 hrs self study every week,There were rarely any live lectures (online mode) and hence no attendance.,Having knowledge about Computer Networks (CS-224) can be a great plus point.,,"Vulnerabilities, risks, attacks, defences, forensics, Cryptography, Network/host intelligence gathering, Web security â€“ SQL injection, Access Control, firewalls and host/network intrusion detection",Professor used to post links for the topics to be covered and there used to be very less live interactions.,,,,,
CM803 - Introduction to Climate Change,"Prof. Chandra Venkataraman, Prof. Pradip Kalbar, Prof. Trupti Mishra","Content wise heavy, a wide range of topics covered in the course of 4 months, might get overwhelming. You will be expected to finish reading material (avg. 10 pages document) before each class",out of class hours 5 hours per week(according to me),"Class participation marks, so in a way compulsory","Second and third module certain policy aspects, if you have some background that could help",,"introduction to a fundamental understanding and problem centered analysis of climate
 change science and responses, with an emphasis on regional scale impacts, assessment of technological options to address mitigation and abatement strategies","Lectures slides used for teaching in class (slides not exhaustive), further a 20 pages (approx) document- reading material to be covered before each class. In each class you are supposed to come prepared with the answer of a question given to you before itself and speak for about 2 minutes, that carried about 10% weightage","They are designed to build your understanding properly, only if you give sufficient amount of time on the tutorials/assignments as well as attend classes regularly","Quizzes- objective type
 Midsem and endsem fairly difficult",,Reading material (topic specific) will be provided by the respective instructors,"Fourth year, autumn semester"
CM802 - Atmosphere and Climate Change,"Prof. Chandra Venkataraman, Prof. Y.S. Mayya","Content wise heavy, a wide range of topics covered in the course of 4 months, might get overwhelming. You will be expected to finish reading material (avg. 10 pages document) before each class",out of class hours 5 hours per week (according to me),"Class participation marks, so in a way compulsory",Knowledge about photochemistry and background in atmospheric chemistry,,"Atmospheric composition and climate, thermodynamics and microscale stability, gases and radiation, atmospheric chemical kinetics, photochemistry, atmospheric aerosols, dry and wet deposition processes, aerosols light scattering, aerosols and climate, cloud physics, cloud forcing of climate, chemistry of clouds and fogs","Lectures slides used for teaching in class (slides not exhaustive), further a 20 pages (approx) document- reading material to be covered before each class. In each class you are supposed to come prepared with the answer of a question given to you before itself and speak for about 2 minutes, that carried about 10% weightage","comprehensive problems, very important for understanding the concepts and from exam point of view, grading for completion and efforts","I found the exams difficult because covering the content before exams, keeping up with classes was itself a challenge for me. I didnâ€™t put in enough efforts to cover the long reading material before each class.",,"Atmospheric chemistry and physics: From air pollution to climate change, J.H. Seinfeld and S.N. Pandis,
 Wiley, 1998, ISBN 0 471 178160. [S&P]","Autumn semester, fourth year"
CL688 - Artificial Intelligence in Process Engineering,Sharad Bhartiya,"This course serves as a introduction to machine learning using a lot of mathematics and proofs. It should be very easy for someone who has a basic understanding of Machine learning. If you are taking this course as a introduction to machine learning, then you will have to spend some time understanding the mathematics involved with every concept. Donâ€™t go by the name of course, it has nothing to do with process engineering.","There were only two exams - midsem and endsem. I prepared two days for each exam. Apart from that, not much time commitment other than classes and project work.",Not required,Basic understanding of Machine learning would help you easily get AB/AA,"1 Midsem: 35%
 1 Course Project: 20%
 1 Endsem: 45%",It covers most concepts of Machine learning and then moves on to basics of Deep learning. Professor follows Pattern Recognition book by Bishop for most of the course.,"Mechanism - Two 1.5 hour online lecture each week
 Teaching Style - Sir teaches really well. He also answers all doubts of students and takes feedback of students to set his exams.",Project will require a report and a presentation. No teams in project (single member project),"Midsem - It was focused on mathematics and lots of calculation.
 Endsem - after taking feedback from students about maths, sir made a easy concepts based endsem paper. High scoring paper.",,Pattern Recognition Book by Bishop,I took this in my 7th semester. Ideal semester can be 3rd/5th semester depending on your interest in ML.
CL444 - Safety in Chemical Industry,"Sandip Roy, Rahul Nabar","Moderately difficult, slightly in easier side if attended regularly.","6 hours per week is enough except for project. Project deadline was after the endsem, can be managed.",No policy. But takes surprise quizzes if attendance is too low. Took 2 consecative tests just to increase the attendance.,No prerequisite. Chemical industry knowledge is an advantage.,Quizzes- 15 Project-18 Endsem- 42 Midsem- 25,The safety and design in the chemical industry and its importance. Some of the basics of the mathematics done as well as the risk associated with it.,Lectures in regular slots. Gave a book written by him as the reference. Mostly the questions were from the book material.,Project are of two types. The one I got was more of a webapp making project for safety which gives out an output for inputs given. The other type was literature review type project. No assignments. Tutorial taken as quizzes.,They were mostly past year questions except for midsem and endsem. The level was moderate.,,The book written by him and the slides for Prof Rahulâ€™s part.,
AE759 - Systems Engineering Principles,Hemendra Arya,Easy to Moderate. The content was really Interesting and unique.,Just need to attend the lectures.,No attendance requirements,No pre-requisites,"The course had a midsem, endsem and a group project. No quizzes. The endsem and midsem had a few questions which were based on the project.","Systems definitions and concepts. Conceptual system design; Introduction to engineering design and decision making; Requirements capture; Requirements analysis, functional decomposition; System architecture; Quality Function Deployment; Queuing theory; Design options; Monte Carlo modeling; Utility theory; Forecasting. Engineering systems modeling. Analysis of system: Reliability; Maintainability; Serviceability; Disposability and Affordability. Cost and benefit analysis. Methods of decision analysis; State transition matrix models; Modeling the research and development process;Information, System life-cycle modeling and optimization. Game theory;Management of engineering systems design and operation; Programmemanagement with case studies.",The prof had a guest Speaker from the industry come and give weekly lectures. Apart from this we had a course project running where we had to directly apply the knowledge we gained from the lectures,The project was a bit time consuming but had the maximum weightage and we did not have to prepare for the exams if enough research was done for the project.,"The Exams were case based and no mugging up was required in any of them. If one had attended all lectures, nothing else was required",The course content was really unique and hands on. The prof was really flexible with submissions and the guest lectures were really interesting.,Only the lecture slides.,"I took this course in my 4th Semester. As there are no pre-requisites/associated courses, can take this up in any semester."
AE651 - Aerodynamics of Compressors and Turbines,Prof A M Pradeep,Course is a bit involved and will be tough to tackle if not regular with classes.,About two hours per week apart from lecture hours.,No attendance policy,"Thermodynamics, heat transfer and fluid mechanics","Quizzes: 15%
 Project: 20%
 Midsem: 25%
 Endsem: 40%","Following topics are covered:
 Introduction to turbo machinery, axial flow compressors and fans, axial flow turbines, centrifugal compressors",Course taught through details slides.,Project is a bit involved and requires designing a component based on the given parameters.,"Quizzes: Questions similar to tutorial sets.
 Midsem and endsem: Paper consists of numerical and theoretical questions.",,,I took this course on my seventh semester. Ideal time will be post your third year.
AE153 - Introduction to Aerospace Engg.,Prof. Rajkumar S. Pant (R. K. Pant),Course content is not difficult.,"Other than class hours, approx. 2 hours per week is required to go through the content before the class.","Attendance is quite rigid, Professor expects everyone to attend all the classes. Professor may or may not keep some marks for attendance. Moreover, it is highly suggested to attend each class, as the class is so much interesting and also the quiz content is mostly from the class discussions.","The only pre-requisite you need, to take this course is â€œInterest in the aerospace domainâ€.",Approximately half of the weightage is of Course Projects and half of quizzes.,"Course content involves Basics of Aerodynamics using simple equations and a lot of illustrations, Different types of aircraft and other aerodynamic machines, their basic structure and working and their current real-world scenario, case studies related to aircraft accidents, aircraft Operations and their working atmosphere, and many more interesting topics, covering some of their basic knowledge.","Teaching style of the professor is very good. The class usually runs in Inverse Classroom mode, in which students are provided with the class content before the class, they have to study that content, and there are video representations and fruitful discussions in the class hours.","There are mainly Group assignments and Projects. The project topics are interesting and fun, they also involve so much learning as well as hands-on work (especially in glider making competition, in the offline scenario).",There are only Quizzes and Assignments/Projects. No Midsem or Endsem. Quizzes are of multiple choice questions type and are not so difficult. You just have to attend classes sincerely to score very good in the Quizzes.,"Course is very important to start any study in the aerospace domain, it is also a pre-requisite to various courses in the Aerospace Department.",Class material (Lecture slides and video illustrations) is enough to understand the course content.,I took this course as the starting course of my Minor in Aerospace Engineering. The ideal semester to take this course is 3rd semester.
ME423 - Machine Design,Shantanu Tripathi,"Since there is no specific course content, the difficulty entirely depends on the project problem statement of your choice","Extremely self-driven and flexible, however, for a good project, one should be prepared to put in at least 5-6 â€˜team hoursâ€™ every week.","None, however one had to fill feedback for the weekly presentations within a few hours of the class. Also, attending weekly review sessions with the TAs and professor is highly recommended.","The entire ME curriculum until the final year is the pre-requisite for the course, across all specializations. Further, it is strongly preferable that at least one member of the team has a working knowledge of simulation software including but not limited to ANSYS, SolidWORKS, ADAMS and Autodesk Fusion 360. Basic business fundamentals and prior experience in making presentations and pitch decks would also benefit the teams, since most teams do well on the technical front.","60% - Entrepreneurial Project (including proposal, prelim design report, detailed design report, pitch deck and Shark Tank video)
 15% - 3 presentations
 20% - Reverse engineering
 5% - Presentation feedback
 A large majority of the course was peer reviewed.","3 topic presentations (15%) were to be chosen from a pool of the following topics. Teams were to sign-up on FCFS basis. Try picking up bonus presentations for extra credit if available.
 Reverse engineering, engineering requirements, mechanics, material selection, failure (ductile, brittle, fatigue, thermal, corrosion), FMEA, design for X (reliability, manufacturability, cost/weight, environment), part selection
 Link/chassis design, wear, screws, nuts, bolts, welds, rivets, fits, other joints, joint design, friction, lubrication, bearings, gears, shafts and keys, belts and chains, pulleys and ropes
 Prototyping and testing, sensors, actuators, controllers
 Standardization, tolerance, design optimization","There was no instruction, in fact, the professor calls himself a â€˜facilitatorâ€™","Reverse Engineering Assignments: One had to select a household appliance and reverse engineer it, build a CAD of the individual parts, assemble it, perform FMEA, stress analysis and dynamics simulations and finally make a detailed report. This was done across two assignments collectively worth 20%. Teams that posted their work on LinkedIn received bonus marks.
 Project: The gist of the course, work effectively begins from day 1. Teams of 6-8 must come up with a start-up idea with a reasonable amount of engineering element and if possible, a widespread impact. Over the course of the semester, they are supposed to design, test and manufacture the product (manufacture wasnâ€™t possible online) and come up with a business case for their product and a pitch deck. The team must then present at a Shark Tank where the other members of the class are the sharks. Teams are effectively left by themselves throughout the semester, although there a bunch of intermediate checkpoints, including report submissions and review meetings. Your final grade in the project is effectively proportional to the investment received in the Shark Tank.",None,"If you have a good tech startup idea, this may be the perfect opportunity to showcase it to the world. The professor has a lot of industry contacts and at times, was willing to push some of the startup ideas in class to actual investors.
 For the others, itâ€™s an extremely unconventional yet fun experience that pushes you out of your comfort zone. And by the end, youâ€™re left with a great set of public speaking, presentation and business skills.",None,
